parameter_id,site_id,eagle_parameter_id,type,name,unit,convert_unit_to
1,1,691fc2c9a04ef5f7f7d9042c,Ai1,Ai1 - BatteryVoltage,Volts,
2,1,691fc2c9a04ef5f7f7d9042e,Ai1,Ai1 - InternalTemperature,°C,
3,1,691fc2c9a04ef5f7f7d90430,Ai1,Ai1 - InternalHumidity,%,
4,1,691fc2c9a04ef5f7f7d90432,Ai1,Ai1 - CurrentAverage,"mA (-=Charge, +=Discharge)",
5,1,691fc2c9a04ef5f7f7d90434,Ai1,Ai1 - CurrentMaximum,"mA (-=Charge, +=Discharge)",
6,1,691fc2c9a04ef5f7f7d90436,Ai1,Ai1 - SensorHoldPowerOn,True = Keep Sensor On,
7,1,691fc2c9a04ef5f7f7d90438,Ai1,Ai1 - ProcessingTime,µS,
8,1,691fc2c9a04ef5f7f7d9043a,Ai1,Ai1 - SerialNumber,,
9,1,691fc2c9a04ef5f7f7d9043c,Ai1,Ai1 - DataloggerOSVersion,,
10,1,691fc2c9a04ef5f7f7d9043e,Ai1,Ai1 - Ai1OSVersion,,
11,1,691fc2c9a04ef5f7f7d90440,Ai1,Ai1 - ProgramSignature,(0-65535),
12,1,691fc2c9a04ef5f7f7d90442,Ai1,Ai1 - ProgramCounter,Cycles,
13,1,691fc2c9a04ef5f7f7d90444,Ai1,Ai1 - StartUpCode,"(0=Ok, -1=Power, -2=Watchdog)",
14,1,691fc2c9a04ef5f7f7d90446,Ai1,Ai1 - WatchdogErrors,Errors Since Compile,
15,1,691fc2c9a04ef5f7f7d90448,Ai1,Ai1 - SkippedScans,Scans Skipped,
16,1,691fc2c9a04ef5f7f7d9044a,Ai1,Ai1 - MemoryFree,Bytes,
17,1,691fc2c9a04ef5f7f7d9044c,Ai1,Ai1 - CellUsageToday,kB,
18,1,691fc2c9a04ef5f7f7d9044e,Ai1,Ai1 - CellUsageThisMonth,kB,
19,1,691fc2c9a04ef5f7f7d90450,Ai1,Ai1 - CellRSSI,dBm,
20,1,691fc2c9a04ef5f7f7d90453,Ai1,Ai1 - CellNetBand,,
21,1,691fc2c9a04ef5f7f7d90455,Ai1,Ai1 - tcpHandle,counter (0 - 65535),
22,1,691fc2c9a04ef5f7f7d90457,Ai1,Ai1 - Latitude,"Decimal Degrees (N=+,S=-)",
23,1,691fc2c9a04ef5f7f7d90459,Ai1,Ai1 - Longitude,"Decimal Degrees (E=+,W=-)",
24,1,691fc2c9a04ef5f7f7d9045b,Ai1,Ai1 - GPSSatellitesInView,GPS Satellites visible,
25,1,691fc2c9a04ef5f7f7d9045d,Ai1,Ai1 - ReadAttempts-Max,,
26,1,696828f2af4ceb36e2e185bc,DCS,DCS - DCS-Model,,
27,1,696828f2af4ceb36e2e185c0,DCS,DCS - DCS-SN,Serial Number,
28,1,696828f2af4ceb36e2e185c4,DCS,DCS - Abs-Speed,cm/s,m/s
29,1,696828f2af4ceb36e2e185c8,DCS,DCS - Direction,degrees,
30,1,696828f2af4ceb36e2e185cc,DCS,DCS - Nth-Vector,cm/s,m/s
31,1,696828f2af4ceb36e2e185d0,DCS,DCS - Eth-Vector,cm/s,m/s
32,1,696828f2af4ceb36e2e185d4,DCS,DCS - Heading,degrees,
33,1,696828f2af4ceb36e2e185d8,DCS,DCS - Tilt-X,degrees,
34,1,696828f2af4ceb36e2e185dc,DCS,DCS - Tilt-Y,degrees,
35,1,696828f2af4ceb36e2e185e0,DCS,DCS - SP-Std,cm/s,m/s
36,1,696828f2af4ceb36e2e185e4,DCS,DCS - Sig-Strength,dB,
37,1,696828f2af4ceb36e2e185e8,DCS,DCS - Ping-Count,pings,
38,1,696828f2af4ceb36e2e185ec,DCS,DCS - Abs-Tilt,degrees,
39,1,696828f2af4ceb36e2e185f0,DCS,DCS - Max-Tilt,degrees,
40,1,696828f2af4ceb36e2e185f4,DCS,DCS - Std-Tilt,degrees,
41,1,696828f2af4ceb36e2e185f8,DCS,DCS - DCS-Temp-ZPulseOnly,degC,
42,1,696828f2af4ceb36e2e185fc,WQ,WQ - WQ(1)- Temperature,degC,
43,1,696828f2af4ceb36e2e18600,WQ,WQ - WQ(2) Specific Conductivity,,
44,1,696828f2af4ceb36e2e18604,WQ,WQ - WQ(3) Salinity PSU,PSU,
45,1,696828f2af4ceb36e2e18608,WQ,WQ - WQ(4) Wiper Position,,
46,1,696828f2af4ceb36e2e1860c,WQ,WQ - WQ(5) Wiper Peak Current,,
47,1,696828f2af4ceb36e2e18610,WQ,WQ - WQ(6) Sonde Cable Power,,
48,1,696828f2af4ceb36e2e18614,WQ,WQ - WQ(7),,
49,1,696828f2af4ceb36e2e18618,WQ,WQ - WQ(8),,
50,1,696828f2af4ceb36e2e1861c,WQ,WQ - WQ(9),,
51,1,696828f2af4ceb36e2e1862c,WQ,WQ - ReadAttempts,,
52,1,696828f2af4ceb36e2e18630,Weather,Weather - AirTemperature,°C,
53,1,696828f2af4ceb36e2e18634,Weather,Weather - RelativeHumidity,%,
54,1,696828f2af4ceb36e2e18638,Weather,Weather - AirPressure,hPa,
55,1,696828f2af4ceb36e2e1863c,Weather,Weather - WindSpeedAvg,m/s,
56,1,696828f2af4ceb36e2e18641,Weather,Weather - WindSpeedMax,m/s,
57,1,696828f2af4ceb36e2e18645,Weather,Weather - WindSpeed-kmh,km/hr,
58,1,696828f2af4ceb36e2e18649,Weather,Weather - WindSpeedMax-kmh,km/hr,
59,1,696828f2af4ceb36e2e1864d,Weather,Weather - WindSpeed-knots,knots,
60,1,696828f2af4ceb36e2e18651,Weather,Weather - WindSpeedMax-knots,knots,
61,1,696828f2af4ceb36e2e18655,Weather,Weather - WindDirection,°,
62,1,696828f2af4ceb36e2e18659,Weather,Weather - WindVectorDirection,Deg,
63,1,696828f2af4ceb36e2e1865d,Weather,Weather - ReadAttempts-Max,,
64,2,691fc2d3a04ef5f7f7d906a8,Ai1,Ai1 - BatteryVoltage,Volts,
65,2,691fc2d3a04ef5f7f7d906aa,Ai1,Ai1 - InternalTemperature,°C,
66,2,691fc2d3a04ef5f7f7d906ac,Ai1,Ai1 - InternalHumidity,%,
67,2,691fc2d3a04ef5f7f7d906ae,Ai1,Ai1 - CurrentAverage,"mA (-=Charge, +=Discharge)",
68,2,691fc2d3a04ef5f7f7d906b0,Ai1,Ai1 - CurrentMaximum,"mA (-=Charge, +=Discharge)",
69,2,691fc2d3a04ef5f7f7d906b2,Ai1,Ai1 - SensorHoldPowerOn,True = Keep Sensor On,
70,2,691fc2d3a04ef5f7f7d906b4,Ai1,Ai1 - ProcessingTime,µS,
71,2,691fc2d3a04ef5f7f7d906b6,Ai1,Ai1 - SerialNumber,,
72,2,691fc2d3a04ef5f7f7d906b8,Ai1,Ai1 - DataloggerOSVersion,,
73,2,691fc2d3a04ef5f7f7d906ba,Ai1,Ai1 - Ai1OSVersion,,
74,2,691fc2d3a04ef5f7f7d906bc,Ai1,Ai1 - ProgramSignature,(0-65535),
75,2,691fc2d3a04ef5f7f7d906be,Ai1,Ai1 - ProgramCounter,Cycles,
76,2,691fc2d3a04ef5f7f7d906c0,Ai1,Ai1 - StartUpCode,"(0=Ok, -1=Power, -2=Watchdog)",
77,2,691fc2d3a04ef5f7f7d906c2,Ai1,Ai1 - WatchdogErrors,Errors Since Compile,
78,2,691fc2d3a04ef5f7f7d906c4,Ai1,Ai1 - SkippedScans,Scans Skipped,
79,2,691fc2d3a04ef5f7f7d906c6,Ai1,Ai1 - MemoryFree,Bytes,
80,2,691fc2d3a04ef5f7f7d906c8,Ai1,Ai1 - CellUsageToday,kB,
81,2,691fc2d3a04ef5f7f7d906ca,Ai1,Ai1 - CellUsageThisMonth,kB,
82,2,691fc2d3a04ef5f7f7d906cc,Ai1,Ai1 - CellRSSI,dBm,
83,2,691fc2d3a04ef5f7f7d906ce,Ai1,Ai1 - CellNetBand,,
84,2,691fc2d3a04ef5f7f7d906d1,Ai1,Ai1 - tcpHandle,counter (0 - 65535),
85,2,691fc2d3a04ef5f7f7d906d3,Ai1,Ai1 - Latitude,"Decimal Degrees (N=+,S=-)",
86,2,691fc2d3a04ef5f7f7d906d5,Ai1,Ai1 - Longitude,"Decimal Degrees (E=+,W=-)",
87,2,691fc2d3a04ef5f7f7d906d7,Ai1,Ai1 - GPSSatellitesInView,GPS Satellites visible,
88,2,691fc2d3a04ef5f7f7d906d9,Ai1,Ai1 - ReadAttempts-Max,,
89,2,6968178ee712366d930dcca6,DCS,DCS - DCS-Model,,
90,2,6968178ee712366d930dccaa,DCS,DCS - DCS-SN,Serial Number,
91,2,6968178ee712366d930dccae,DCS,DCS - Abs-Speed,cm/s,m/s
92,2,6968178ee712366d930dccb2,DCS,DCS - Direction,degrees,
93,2,6968178ee712366d930dccb6,DCS,DCS - Nth-Vector,cm/s,m/s
94,2,6968178ee712366d930dccba,DCS,DCS - Eth-Vector,cm/s,m/s
95,2,6968178ee712366d930dccbe,DCS,DCS - Heading,degrees,
96,2,6968178ee712366d930dccc2,DCS,DCS - Tilt-X,degrees,
97,2,6968178ee712366d930dccc6,DCS,DCS - Tilt-Y,degrees,
98,2,6968178ee712366d930dccca,DCS,DCS - SP-Std,cm/s,m/s
99,2,6968178ee712366d930dccce,DCS,DCS - Sig-Strength,dB,
100,2,6968178ee712366d930dccd2,DCS,DCS - Ping-Count,pings,
101,2,6968178ee712366d930dccd6,DCS,DCS - Abs-Tilt,degrees,
102,2,6968178ee712366d930dccda,DCS,DCS - Max-Tilt,degrees,
103,2,6968178ee712366d930dccde,DCS,DCS - Std-Tilt,degrees,
104,2,6968178ee712366d930dcce2,DCS,DCS - DCS-Temp-ZPulseOnly,degC,
105,2,6968178ee712366d930dcce6,WQ,WQ - WQ(1)- Temperature,,
106,2,6968178ee712366d930dccea,WQ,WQ - WQ(2) Specific Conductivity,,
107,2,6968178ee712366d930dccee,WQ,WQ - WQ(3) Salinity PSU,,
108,2,6968178ee712366d930dccf2,WQ,WQ - WQ(4) Wiper Position,,
109,2,6968178ee712366d930dccf6,WQ,WQ - WQ(5) Wiper Peak Current,,
110,2,6968178ee712366d930dccfa,WQ,WQ - WQ(6) Sonde Cable Power,,
111,2,6968178ee712366d930dccfe,WQ,WQ - WQ(7),,
112,2,6968178fe712366d930dcd02,WQ,WQ - WQ(8),,
113,2,6968178fe712366d930dcd06,WQ,WQ - WQ(9),,
114,2,6968178fe712366d930dcd16,WQ,WQ - ReadAttempts,,
115,2,6968178fe712366d930dcd1a,Weather,Weather - AirTemperature,°C,
116,2,6968178fe712366d930dcd1e,Weather,Weather - RelativeHumidity,%,
117,2,6968178fe712366d930dcd22,Weather,Weather - AirPressure,hPa,
118,2,6968178fe712366d930dcd26,Weather,Weather - WindSpeedAvg,m/s,
119,2,6968178fe712366d930dcd2a,Weather,Weather - WindSpeedMax,m/s,
120,2,6968178fe712366d930dcd2e,Weather,Weather - WindSpeed-kmh,km/hr,
121,2,6968178fe712366d930dcd32,Weather,Weather - WindSpeedMax-kmh,km/hr,
122,2,6968178fe712366d930dcd36,Weather,Weather - WindSpeed-knots,knots,
123,2,6968178fe712366d930dcd3a,Weather,Weather - WindSpeedMax-knots,knots,
124,2,6968178fe712366d930dcd3e,Weather,Weather - WindDirection,°,
125,2,6968178fe712366d930dcd42,Weather,Weather - WindVectorDirection,Deg,
126,2,6968178fe712366d930dcd46,Weather,Weather - ReadAttempts-Max,,
